date,covers,net_sales,outside
2018-05-20,298.0,20117.6,1
2018-05-21,270.0,19446.0,1
2018-05-22,176.0,16704.53,0
2018-05-23,257.0,18860.14,1
2018-05-24,251.0,19747.75,1
2018-05-25,297.0,21825.499999999996,1
2018-05-26,272.0,19334.179999999997,1
2018-05-27,234.0,19427.079999999998,1
2018-05-28,239.0,17146.93,1
2018-05-29,244.0,17720.800000000003,1
2018-05-30,218.0,16912.059999999998,1
2018-05-31,166.0,14630.36,0
2018-06-01,262.0,19551.05,1
2018-06-02,251.0,20075.91,1
2018-06-03,250.0,16704.33,1
2018-06-04,221.0,16769.17,1
2018-06-05,232.0,18104.52,1
2018-06-06,225.0,16055.22,1
2018-06-07,240.0,18901.44,1
2018-06-08,251.0,21328.43,1
2018-06-09,288.0,22155.929999999997,1
2018-06-10,205.0,15181.83,0
2018-06-11,226.0,16658.19,1
2018-06-12,245.0,18436.7,1
2018-06-13,242.0,18510.18,1
2018-06-14,269.0,19769.98,1
2018-06-15,246.0,21247.76,1
2018-06-16,275.0,21834.46,1
2018-06-17,271.0,18720.019999999997,1
2018-06-18,220.0,15238.61,1
2018-06-19,247.0,19066.09,1
2018-06-20,239.0,17807.35,1
2018-06-21,231.0,20054.760000000002,1
2018-06-22,252.0,23974.739999999998,1
2018-06-23,257.0,21335.83,1
2018-06-24,255.0,18088.939999999995,1
2018-06-25,271.0,18901.46,1
2018-06-26,249.0,17697.73,1
2018-06-27,199.0,14848.95,1
2018-06-28,223.0,18233.309999999998,1
2018-06-29,265.0,20554.35,1
2018-06-30,266.0,21052.629999999997,1
2018-07-01,280.0,19125.530000000002,1
2018-07-02,265.0,19309.07,1
2018-07-03,237.0,17903.760000000002,1
2018-07-04,261.0,17014.129999999997,1
2018-07-05,255.0,17429.53,1
2018-07-06,246.0,17613.890000000003,1
2018-07-07,277.0,20770.029999999995,1
2018-07-08,272.0,19662.42,1
2018-07-09,264.0,19864.91,1
2018-07-10,235.0,17776.0,1
2018-07-11,260.0,20568.219999999998,1
2018-07-12,242.0,18466.52,1
2018-07-13,245.0,18420.839999999997,1
2018-07-14,296.0,20962.87,1
2018-07-15,250.0,19200.45,1
2018-07-16,231.0,17532.43,1
2018-07-17,165.0,13153.74,0
2018-07-18,247.0,18395.940000000002,1
2018-07-19,235.0,20136.22,1
2018-07-20,258.0,19032.37,1
2018-07-21,227.0,18651.66,1
2018-07-22,189.0,14591.49,0
2018-07-23,232.0,16599.2,1
2018-07-24,246.0,18471.5,1
2018-07-25,171.0,13308.51,0
2018-07-26,242.0,19037.19,1
2018-07-27,169.0,13722.27,0
2018-07-28,292.0,23515.34,1
2018-07-29,254.0,17437.0,1
2018-07-30,218.0,14636.92,1
2018-07-31,220.0,16954.35,1
2018-08-01,229.0,16807.44,1
2018-08-02,242.0,18051.46,1
2018-08-03,265.0,18817.989999999998,1
2018-08-04,269.0,19186.8,1
2018-08-05,280.0,16912.96,1
2018-08-06,242.0,15930.68,1
2018-08-07,162.0,14436.0,1
2018-08-08,234.0,18439.75,1
2018-08-09,248.0,18732.41,1
2018-08-10,274.0,19621.11,1
2018-08-11,217.0,18665.55,1
2018-08-12,259.0,16544.5,1
2018-08-13,220.0,15843.99,1
2018-08-14,176.0,14021.0,1
2018-08-15,242.0,18027.25,1
2018-08-16,250.0,17058.75,1
2018-08-17,219.0,18602.789999999997,1
2018-08-18,221.0,16693.42,1
2018-08-19,248.0,16915.760000000002,1
2018-08-20,218.0,17508.989999999998,1
2018-08-21,228.0,16520.0,1
2018-08-22,242.0,18468.65,1
2018-08-23,281.0,18457.36,1
2018-08-24,283.0,20671.67,1
2018-08-25,287.0,21394.14,1
2018-08-26,289.0,17948.489999999998,1
2018-08-27,248.0,15743.67,1
2018-08-28,246.0,16426.75,1
2018-08-29,249.0,16096.66,1
2018-08-30,273.0,18462.61,1
2018-08-31,250.0,18168.68,1
2018-09-01,266.0,20437.75,1
2018-09-02,267.0,18696.14,1
2018-09-03,237.0,16762.98,1
2018-09-04,244.0,16015.25,1
2018-09-05,212.0,15439.42,1
2018-09-06,205.0,18117.15,1
2018-09-07,254.0,18680.0,1
2018-09-08,241.0,15178.5,0
2018-09-09,197.0,14679.25,0
2018-09-10,185.0,12763.67,0
2018-09-11,191.0,15832.75,1
2018-09-12,179.0,13564.720000000001,0
2018-09-13,234.0,17284.8,1
2018-09-14,246.0,19072.09,1
2018-09-15,270.0,19974.0,1
2018-09-16,278.0,17065.79,1
2018-09-17,212.0,14932.880000000001,1
2018-09-18,243.0,18315.5,1
2018-09-19,235.0,16643.54,1
2018-09-20,220.0,15009.7,1
2018-09-21,284.0,21252.0,1
2018-09-22,285.0,20649.25,1
2018-09-23,233.0,15416.27,1
2018-09-24,233.0,19496.46,1
2018-09-25,164.0,13328.38,0
2018-09-26,191.0,15864.5,1
2018-09-27,212.0,15575.25,1
2018-09-28,262.0,19322.93,1
2018-09-29,280.0,20224.75,1
2018-09-30,270.0,18367.010000000002,1
2018-10-01,217.0,17821.75,1
2018-10-02,209.0,16216.34,1
2018-10-03,1.0,25000.01,1
2018-10-04,2.0,16258.59,0
2018-10-05,240.0,19032.6,1
2018-10-06,277.0,20786.38,1
2018-10-07,258.0,19098.41,1
2018-10-08,188.0,15722.99,1
2018-10-09,231.0,15684.59,1
2018-10-10,251.0,18442.77,1
2018-10-11,177.0,15418.14,0
2018-10-12,247.0,19191.42,1
2018-10-13,265.0,20660.75,1
2018-10-14,262.0,18563.629999999997,1
2018-10-15,198.0,14750.25,1
2018-10-16,170.0,15190.07,1
2018-10-17,162.0,13724.67,1
2018-10-18,181.0,14878.0,0
2018-10-19,228.0,16887.5,1
2018-10-20,226.0,18547.04,1
2018-10-21,178.0,14927.0,0
2018-10-22,196.0,13160.74,0
2018-10-23,183.0,14008.51,1
2018-10-24,183.0,15935.0,0
2018-10-25,171.0,14465.01,0
2018-10-26,196.0,14558.0,0
2018-10-27,191.0,16526.96,0
2018-10-28,196.0,14556.230000000001,1
2018-10-29,186.0,14752.500000000002,0
2018-10-30,162.0,13185.25,0
2018-10-31,215.0,15653.8,1
2018-11-01,206.0,16452.25,1
2018-11-02,223.0,17802.78,1
2018-11-03,232.0,20010.5,1
2018-11-04,209.0,17146.5,1
2018-11-05,161.0,14828.91,0
2018-11-06,159.0,12192.5,0
2018-11-07,156.0,16467.5,1
2018-11-08,179.0,13734.5,0
2018-11-09,181.0,14426.650000000001,0
2018-11-10,203.0,15439.52,0
2018-11-11,199.0,13939.95,0
2018-11-12,153.0,11892.0,0
2018-11-13,165.0,13397.5,0
2018-11-14,171.0,13446.0,0
2018-11-15,146.0,13457.0,0
2018-11-16,188.0,15187.25,0
2018-11-17,195.0,17525.25,0
2018-11-18,180.0,14531.0,0
2018-11-19,174.0,13200.24,0
2018-11-20,194.0,14088.25,0
2018-11-21,174.0,14029.99,0
2018-11-22,0.0,0.0,0
2018-11-23,199.0,14565.5,0
2018-11-24,198.0,15461.75,0
2018-11-25,193.0,11946.5,0
2018-11-26,164.0,12201.5,0
2018-11-27,163.0,13653.0,0
2018-11-28,171.0,14088.95,0
2018-11-29,183.0,14179.59,0
2018-11-30,187.0,14363.369999999999,0
2018-12-01,203.0,15720.91,0
2018-12-02,196.0,13512.75,0
2018-12-03,167.0,11313.5,0
2018-12-04,162.0,12529.75,0
2018-12-05,172.0,11761.25,0
2018-12-06,178.0,15825.84,0
2018-12-07,202.0,16930.08,0
2018-12-08,206.0,15826.49,0
2018-12-09,186.0,14290.71,0
2018-12-10,176.0,14184.25,0
2018-12-11,170.0,18929.5,0
2018-12-12,159.0,13305.57,0
2018-12-13,164.0,18817.5,0
2018-12-14,183.0,16720.16,0
2018-12-15,202.0,16371.82,0
2018-12-16,170.0,13708.5,0
2018-12-17,173.0,14433.0,0
2018-12-18,169.0,15217.59,0
2018-12-19,194.0,15203.41,0
2018-12-20,159.0,13216.0,0
2018-12-21,180.0,12837.890000000001,0
2018-12-22,204.0,16637.989999999998,0
2018-12-23,189.0,14078.37,0
2018-12-24,0.0,0.0,0
2018-12-25,0.0,0.0,0
2018-12-26,176.0,13206.7,0
2018-12-27,201.0,15357.029999999999,0
2018-12-28,211.0,15497.369999999999,0
2018-12-29,207.0,16236.11,0
2018-12-30,209.0,15208.0,0
2018-12-31,177.0,15099.0,0
2019-01-01,0.0,0.0,0
2019-01-02,191.0,12685.24,0
2019-01-03,184.0,13580.96,0
2019-01-04,199.0,16002.75,0
2019-01-05,232.0,16463.620000000003,0
2019-01-06,182.0,12405.14,0
2019-01-07,178.0,14222.67,0
2019-01-08,167.0,10811.32,0
2019-01-09,173.0,12985.09,0
2019-01-10,151.0,13196.76,0
2019-01-11,187.0,14699.25,0
2019-01-12,214.0,17112.96,0
2019-01-13,189.0,14285.0,0
