date,sales,dinner_covers,outside
2019-02-17,16455.36,230,0
2019-02-18,15747.65,188,0
2019-02-19,13941.2,178,0
2019-02-20,15769,157,0
2019-02-21,14799.51,190,0
2019-02-22,17253.5,210,0
2019-02-23,17842.149999999998,229,0
2019-02-24,13862.720000000001,197,0
2019-02-25,13771.25,162,0
2019-02-26,13913.67,178,0
2019-02-27,27909.75,179,0
2019-02-28,14560.02,169,0
2019-03-01,14837.11,194,0
2019-03-02,19093.57,198,0
2019-03-03,13957.5,188,0
2019-03-04,13369.25,188,0
2019-03-05,13599.769999999999,175,0
2019-03-06,11925.17,153,0
2019-03-07,15261.42,204,0
2019-03-08,17086.85,212,0
2019-03-09,19019.559999999983,269,0
2019-03-10,15061.3,206,0
2019-03-11,14179.58,191,0
2019-03-12,14019.5,191,0
2019-03-13,16744.55,183,0
2019-03-14,14913.400000000001,180,0
2019-03-15,15491.38,197,0
2019-03-16,16980.42,211,0
2019-03-17,14554.25,189,0
2019-03-18,14174.46,186,0
2019-03-19,13480.41,188,0
2019-03-20,12259.69,167,0
2019-03-21,13971.17,176,0
2019-03-22,15905.089999999998,216,0
2019-03-23,17432.25,215,0
2019-03-24,14232.999999999996,220,0
2019-03-25,14034.25,188,0
2019-03-26,14285.5,185,0
2019-03-27,15776.1,172,0
2019-03-28,13559.5,188,0
2019-03-29,16291.09,204,0
2019-03-30,17937.190000000002,243,0
2019-03-31,14248.72,220,0
2019-04-01,12858.5,167,0
2019-04-02,13983,173,0
2019-04-03,15275.979999999998,183,1
2019-04-04,14172.839999999998,190,0
2019-04-05,17164.91,210,0
2019-04-06,19636.7,253,0
2019-04-07,15262.66,206,0
2019-04-08,13748.75,185,0
2019-04-09,15610.75,184,0
2019-04-10,16141.53,213,1
2019-04-11,15233.42,193,1
2019-04-12,15499.539999999999,195,0
