date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-04-20,14418.24,217.0,1,0.77,0.0333,08:00AM,0.0,rain,1017.31,cloudy,3,4,0,66.44350230414746,0.0,0.0,0.0,1.0,0.0
2017-04-21,16031.95,205.0,1,0.9,0.0567,02:00AM,0.0,rain,1012.44,cloudy,4,4,0,78.20463414634146,0.0,0.0,1.0,0.0,0.0
2017-04-22,17513.949999999993,237.0,0,0.78,0.0127,04:00PM,0.0,rain,1014.56,cloudy,5,4,0,73.89852320675102,0.0,0.0,1.0,0.0,0.0
2017-04-23,17684.269999999997,252.0,1,0.66,0.0,05:01AM,0.0,none,1019.2,partly-cloudy-night,6,4,0,70.17567460317458,0.0,0.0,1.0,0.0,0.0
2017-04-24,14321.38,213.0,0,0.67,0.0,05:01AM,0.0,none,1020.15,cloudy,0,4,0,67.23652582159625,0.0,0.0,0.0,1.0,0.0
2017-04-25,15762.3,184.0,0,0.94,0.1495,10:00PM,1.0,rain,1012.04,rain,1,4,0,85.66467391304347,0.0,0.0,1.0,0.0,0.0
2017-04-26,14203.219999999998,165.0,1,0.91,0.0172,06:00AM,0.0,rain,1008.97,cloudy,2,4,0,86.0801212121212,0.0,0.0,0.0,1.0,0.0
2017-04-27,13968.95,240.0,1,0.91,0.0014,02:00AM,0.0,rain,1011.85,cloudy,3,4,0,58.20395833333334,0.0,0.0,0.0,1.0,0.0
2017-04-28,22179.55,309.0,1,0.36,0.0014,05:00AM,0.0,rain,1015.87,partly-cloudy-night,4,4,0,71.77847896440129,0.0,0.0,0.0,0.0,1.0
2017-04-29,23920.469999999994,324.0,1,0.53,0.0482,06:00AM,0.0,rain,1016.07,partly-cloudy-night,5,4,0,73.82861111111109,0.0,0.0,0.0,0.0,1.0
2017-04-30,14023.2,215.0,1,0.65,0.0,05:01AM,0.0,none,1022.37,cloudy,6,4,0,65.22418604651163,0.0,0.0,1.0,0.0,0.0
2017-05-01,15385.12,220.0,1,0.74,0.0,05:01AM,0.0,none,1006.51,partly-cloudy-night,0,5,0,69.93236363636365,0.0,0.0,0.0,1.0,0.0
2017-05-02,18539.12,275.0,1,0.36,0.0074,07:00AM,0.0,rain,1005.05,partly-cloudy-night,1,5,0,67.41498181818181,0.0,0.0,0.0,1.0,0.0
2017-05-03,15489.27,226.0,1,0.38,0.0,05:01AM,0.0,none,1017.0,clear-night,2,5,0,68.53659292035398,0.0,0.0,0.0,1.0,0.0
2017-05-04,14832.34,219.0,1,0.64,0.0,05:01AM,0.0,none,1021.85,partly-cloudy-night,3,5,0,67.72757990867579,0.0,0.0,1.0,0.0,0.0
